Title,Features.Max Players,Features.Multiplatform?,Features.Online?,Metadata.Genres,Metadata.Publishers,Price,Release.Console,Release.Year,Length.Completionists.Polled,Length.Main Story.Average
Transformers: Decepticons,1,True,True,"Action,Racing / Driving",Activision,17.95,Nintendo DS,2007,0,0.0
Transformers: The Game,1,True,True,Action,Activision,14.95,X360,2007,1,5.316666666666666
Trauma Center: New Blood,2,True,True,"Action,Simulation",Nintendo,17.95,Nintendo Wii,2007,0,10.75
Trauma Center: Second Opinion,1,True,True,"Action,Simulation",Nintendo,17.95,Nintendo Wii,2006,1,8.683333333333334
Trauma Center: Under the Knife,1,True,True,"Action,Simulation",Nintendo,15.95,Nintendo DS,2005,3,8.15
Trauma Center: Under The Knife 2,1,True,True,"Action,Simulation",,19.95,Nintendo DS,2008,0,12.0
Tropix!,1,True,True,Action,,23.95,Nintendo DS,2008,0,0.0
True Swing Golf,1,True,True,Sports,Nintendo,14.95,Nintendo DS,2005,0,0.0
Turn It Around,1,True,True,"Racing / Driving,Sports",,9.95,Nintendo DS,2007,1,0.0
Turning Point: Fall of Liberty,1,True,True,Action,,7.95,X360,2008,1,5.266666666666667
Turok,1,True,True,Action,,14.95,X360,2008,11,8.45
TV Show King,4,True,True,Strategy,,17.95,Nintendo Wii,2008,2,0.0
Twisted Metal: Head-On,1,True,True,"Action,Racing / Driving",Sony,14.95,Sony PSP,2005,0,0.0
Two Worlds,1,True,True,"Action,Role-Playing (RPG)",,14.95,X360,2007,5,19.2
UEFA Champions League 2006-2007,4,True,True,Sports,EA,6.95,X360,2007,0,0.0
UEFA Euro 2008,7,True,True,Sports,EA,17.95,PlayStation 3,2008,0,0.0
Ultimate Band,1,True,True,"Action,Simulation",Disney,14.95,Nintendo DS,2008,0,0.0
Ultimate Ghosts 'N' Goblins,1,True,True,Action,Capcom,17.95,Sony PSP,2006,1,3.3333333333333335
Ultimate Mortal Kombat 3,1,True,True,Action,Midway,23.95,Nintendo DS,2007,3,1.0666666666666667
Uncharted: Drake's Fortune,1,True,True,Action,Sony,24.95,PlayStation 3,2007,91,8.5
Universe at War: Earth Assault,1,True,True,"Action,Strategy",Sega,14.95,X360,2008,0,16.0
Unreal Tournament III,1,True,True,Action,Midway,16.95,PlayStation 3,2007,4,11.0
Unsolved Crimes,1,True,True,"Action,Adventure,Racing / Driving",,17.95,Nintendo DS,2008,0,0.0
Untold Legends: Brotherhood of the Blade,1,True,True,"Action,Role-Playing (RPG)","Activision,Sony",12.95,Sony PSP,2005,0,20.0
Untold Legends: Dark Kingdom,2,True,True,"Action,Role-Playing (RPG)","EA,Sony",16.95,PlayStation 3,2006,1,0.0
Untold Legends: The Warrior's Code,1,True,True,"Action,Role-Playing (RPG)","Sony,Ubisoft",14.95,Sony PSP,2006,0,0.0
Valhalla Knights,1,True,True,"Action,Role-Playing (RPG)",,16.95,Sony PSP,2006,0,0.0
Valkyria Chronicles,1,True,True,"Action,Role-Playing (RPG),Strategy",Sega,24.95,PlayStation 3,2008,18,31.7
Valkyrie Profile: Covenant of the Plume,1,True,True,"Role-Playing (RPG),Strategy",SquareEnix,24.95,Nintendo DS,2008,4,15.466666666666667
Valkyrie Profile: Lenneth,1,True,True,Role-Playing (RPG),SquareEnix,22.95,Sony PSP,2006,6,33.18333333333333
Vampire Rain,1,True,True,Action,Microsoft,11.95,X360,2007,0,10.883333333333333
Victorious Boxers: Revolution,1,True,True,"Action,Simulation,Sports",Ubisoft,24.95,Nintendo Wii,2007,0,0.0
Viewtiful Joe: Double Trouble!,1,True,True,Action,Capcom,14.95,Nintendo DS,2005,0,5.166666666666667
Viewtiful Joe: Red Hot Rumble,1,True,True,Action,Capcom,14.95,Sony PSP,2006,0,4.8
Viking: Battle for Asgard,1,True,True,Action,Sega,14.95,X360,2008,15,13.033333333333333
Virtua Fighter 5,2,True,True,Action,Sega,14.95,PlayStation 3,2007,2,1.1666666666666667
Virtua Tennis 3,4,True,True,Sports,Sega,19.95,PlayStation 3,2007,0,17.0
Virtua Tennis: World Tour,1,True,True,Sports,Sega,14.95,Sony PSP,2005,0,0.0
Viva Pi$?ata,4,True,True,"Simulation,Strategy",Microsoft,16.95,X360,2006,9,18.0
Viva Pi$?ata: Party Animals,4,True,True,Racing / Driving,Microsoft,14.95,X360,2007,1,0.0
Viva Pi$?ata: Pocket Paradise,1,True,True,"Simulation,Strategy",THQ,17.95,Nintendo DS,2008,0,20.333333333333332
Viva Pi$?ata: Trouble in Paradise,2,True,True,"Racing / Driving,Simulation,Strategy",Microsoft,17.95,X360,2008,2,70.0
Wall-E,4,True,True,Action,THQ,17.95,Nintendo Wii,2008,1,6.283333333333333
"Warhammer 40,000: Squad Command",1,True,True,Strategy,THQ,17.95,Sony PSP,2007,0,0.0
Warhammer: Battle for Atluma,1,True,True,Strategy,Namco,17.95,Sony PSP,2006,0,0.0
Wario Land: Shake It!,1,True,True,Action,Nintendo,19.95,Nintendo Wii,2008,3,6.2
Wario: Master of Disguise,1,True,True,Action,Nintendo,14.95,Nintendo DS,2007,0,8.716666666666667
WarioWare Touched!,2,True,True,"Action,Racing / Driving,Sports",Nintendo,22.95,Nintendo DS,2004,16,1.9166666666666665
WarioWare: Smooth Moves,6,True,True,"Action,Racing / Driving,Sports",Nintendo,39.95,Nintendo Wii,2006,8,2.7666666666666666
Warriors Orochi,2,True,True,"Action,Role-Playing (RPG)",,19.95,X360,2007,1,10.25
WarTech: Senko no Ronde,2,True,True,Action,Ubisoft,12.95,X360,2006,1,0.85
Wii Fit,1,True,True,"Educational,Sports",Nintendo,24.95,Nintendo Wii,2007,0,3.85
Wii Play,2,True,True,"Action,Sports",Nintendo,14.95,Nintendo Wii,2006,0,4.083333333333333
Wild Arms XF,1,True,True,Role-Playing (RPG),,17.95,Sony PSP,2008,1,52.233333333333334
Winning Eleven: Pro Evolution Soccer 2007,6,True,True,Sports,Konami,11.95,X360,2006,1,10.0
Winter Sports: The Ultimate Challenge,1,True,True,"Racing / Driving,Sports",,16.95,Nintendo Wii,2007,0,0.0
WipEout Pulse,1,True,True,"Action,Racing / Driving",Sony,16.95,Sony PSP,2007,2,7.716666666666667
WipEout Pure,1,True,True,"Action,Racing / Driving",Sony,12.95,Sony PSP,2005,0,6.716666666666667
WordJong,1,True,True,Strategy,,17.95,Nintendo DS,2007,0,0.0
World Series of Poker,1,True,True,"Sports,Strategy",Activision,14.95,Sony PSP,2005,0,0.0
World Series of Poker 2008: Battle for the Brac...,1,True,True,Simulation,Activision,19.95,X360,2007,0,0.0
Worms: A Space Oddity,4,True,True,"Action,Strategy",THQ,17.95,Nintendo Wii,2008,0,0.0
Worms: Open Warfare,1,True,True,"Action,Strategy",THQ,17.95,Sony PSP,2006,1,8.25
Worms: Open Warfare 2,1,True,True,"Action,Strategy",THQ,17.95,Nintendo DS,2007,1,8.25
WWE Smackdown vs. Raw 2006,4,True,True,"Action,Sports",THQ,14.95,Sony PSP,2005,3,7.966666666666667
WWE SmackDown vs. Raw 2007,4,True,True,Sports,THQ,12.95,X360,2006,3,8.75
WWE Smackdown vs. Raw 2008,4,True,True,Sports,THQ,12.95,X360,2007,5,9.65
WWE SmackDown vs. Raw 2008,1,True,True,Sports,THQ,14.95,Nintendo DS,2007,5,9.65
X-Men: Legends II - Rise of Apocalypse,1,True,True,"Action,Role-Playing (RPG)",Activision,17.95,Sony PSP,2005,2,22.566666666666666
X-Men: The Official Game,1,True,True,Action,Activision,14.95,X360,2006,3,12.5
Xiaolin Showdown,1,True,True,Action,Konami,14.95,Sony PSP,2006,1,6.0
Yoshi Touch & Go,1,True,True,Action,Nintendo,17.95,Nintendo DS,2005,0,3.0
Yoshi's Island DS,1,True,True,Action,Nintendo,27.95,Nintendo DS,2006,0,8.516666666666667
Ys VI: The Ark of Napishtim,1,True,True,"Action,Role-Playing (RPG)",Konami,16.95,Sony PSP,2006,5,14.366666666666667
Zack & Wiki: Quest for Barbaros' Treasure,1,True,True,Adventure,Capcom,17.95,Nintendo Wii,2007,3,15.483333333333333
Zendoku,1,True,True,"Role-Playing (RPG),Strategy",Eidos,16.95,Nintendo DS,2007,1,0.0
Zoids Assault,1,True,True,"Role-Playing (RPG),Strategy",,17.95,X360,2007,1,11.0
Zoo Keeper,1,True,True,Action,,14.95,Nintendo DS,2004,1,6.0
Zoo Tycoon DS,1,True,True,"Simulation,Strategy",THQ,12.95,Nintendo DS,2005,0,0.0
Zubo,1,True,True,"Adventure,Role-Playing (RPG),Strategy",EA,14.95,Nintendo DS,2008,0,0.0
